,Names,Country,Year,Links
99,Cosufi S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_Cosufi-S.A..pdf
100,O Telhar Agropecuária LTDA,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_O-Telhar-Agropecuaria-Ltda..pdf
101,GMS Agronegócio Ltda,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_GMS-Agronegocio-Ltda-1.pdf
102,Kiñewen S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_KInewen-S.A..pdf
103,Tilo Pampa S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Tilo-Pampa-S.A.-2.pdf
104,Girassol Agrícola Ltda,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Fazenda-Girassol.pdf
105,Salentein Argentina B.V.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Salentein-Argentina-B.V..pdf
106,Fazenda Verde Agropastoril Jatobasso Ltda,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Agropastoril-Jotabasso-Ltda.-Fazenda-Verde.pdf
107,Agronomía Ing. Gauchat y Asociados S.R.L.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Agronomia-Ing.-Gauchat-y-Asoc.-S.R.L..pdf
108,Magnano Pablo Fabian,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Magnano-Pablo-Fabian.pdf
109,Antoine Jean Marie Dechamps,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Antoine-Jean-Marie-Dechamps.pdf
110,Garmat S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Garmat-S.A..pdf
111,Agrex do Brasil S.A.,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Agrex-do-Brasil-S.A..pdf
112,Amaggi Exp Imp Ltda – Grupo Parecis II,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/12/2021_Informe-Publico_Amaggi-Exp-Imp-Ltda–Grupo-Parecis-II.pdf
113,Produzindo Certo – Grupo Comigo,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_Informe-Publico_Produzindo-Certo-–-Grupo-Comigo.pdf
114,Compañía Agroindustrial La Oriental S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_Informe-Publico_Compania-Agroindustrial-La-Oriental-S.A..pdf
115,Saag Comercial Exportadora Ltda no-GMO,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_Informe-Publico_Saag-Comercial-Exportadora-Ltda..pdf
116,Bartira Gestão Agropecuária,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_Informe-Publico_Bartira-Gestao-Agropecuaria.pdf
117,Orly S.A.C.I.F.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_Informe-Publico_ORLY-SACIF.pdf
118,Associação Clube Amigos da Terra CAT Sorriso,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_-Informe-Publico_-Associacao-Clube-Amigos-da-Terra-CAT-Sorriso.pdf
119,Viluco S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_Informe-Publico_Viluco-S.A..pdf
120,Produzindo Certo–Grupo Castrolanda,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_Informe-Publico_Produzindo-Certo-Grupo-Castrolanda.pdf
121,Kimex S.R.L.,Paraguay ,2021,https://responsiblesoy.org/wp-content/uploads/2021/11/2021_Informe-Publico_Kimex-S.R.L..pdf
122,Caldenes S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/10/2021_Informe-Publico_Caldenes-S.A..pdf
123,San Felix S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/10/2021_Informe-Publico_San-Felix-S.A..pdf
124,Provinvest S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/10/2021_Informe-Publico_Provinvest-S.A..pdf
125,SLC Agrícola,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/10/2021_Informe-Publico_SLC-Agricola.pdf
126,La Providencia Agricola Ganadera S.R.L.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/09/2021_Informe-Publico_La-Providencia-Agricola-Ganadera-S.R.L..pdf
127,Fazendas Bartira - non-GMO,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/09/2021_Informe-Publico_Fazendas-Bartira-no-GMO.pdf
128,Fazendas Bartira,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/09/2021_Informe-Publico_Fazendas-Bartira.pdf
129,Desarrollo Agrícola del Paraguay S.A. - D.A.P.,Paraguay ,2021,https://responsiblesoy.org/wp-content/uploads/2021/09/2021_Informe-Publico_Desarrollo-Agricola-del-Paraguay-S.A..pdf
130,Aliança da Terra - Grupo IV,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/09/2021_Infome-Publico_Alianca-da-Terra-Grupo-IV.pdf
131,Adeco Agropecuaria S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/08/2021_Infome-Publico_Adeco-Agropecuaria-S.A..pdf
132,Arvind Limited,India ,2021,https://responsiblesoy.org/wp-content/uploads/2021/08/2021_Informe-Publico_Arvind-Limited.pdf
133,Ferias del Norte S.A.C.I.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/08/2021_Informe-Publico_Ferias-del-Norte-S.A.C.I.A..pdf
134,Espartina S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/08/2021_Informe-Publico_Espartina-S.A..pdf
135,San José del Oeste S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/08/2021_Informe-Publico_San-Jose-del-Oeste-S.A..pdf
136,Agrícola Magdalena S.R.L.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/08/2021_Informe-Publico_Agricola-Magdalena-S.R.L..pdf
137,Planisferio S..A.U.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/08/2021_Informe-Publico_Planisferio-S.A.U..pdf
138,Aceitera General Deheza S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/08/2021_Informe-Publico_Aceitera-General-Deheza-S.A..pdf
139,Fazenda Agrícola Dourado S.A.,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/07/2021_Informe-Publico_Fazenda-Agricola-Dourado-S.A..pdf
140,Haritprakash Biocare LLP,India ,2020,https://responsiblesoy.org/wp-content/uploads/2021/07/2020_Informe-Publico_Haritprakash-Biocare-LLP.pdf
141,Paraguay Agricultural Corporation S.A.,Paraguay ,2021,https://responsiblesoy.org/wp-content/uploads/2021/07/2021_Informe-Publico_PAYCO.pdf
142,El Progreso de Rawson,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/07/2021_Informe-Publico_El-Progreso-de-Rawson-S.A..pdf
143,El Progreso de Rawson - non GMO,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/07/2021_Informe-Publico_El-Progreso-de-Rawson-S.A.-no-GMO.pdf
144,Tecnocampo S.A. no-GMO,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/07/2021_Informe-Publico_Tecnocampo-S.A.-no-GMO.pdf
145,Tecnocampo S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/07/2021_Informe-Publico_Tecnocampo-S.A..pdf
146,Amaggi Commodities EU RED,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/06/2021_Informe-Publico_Amaggi-EU-RED-Commodities.pdf
147,Agrosoy S.A.,Paraguay ,2021,https://responsiblesoy.org/wp-content/uploads/2021/06/2021_Informe-Publico_Agrosoy-S.A..pdf
148,San Juan del Totoral S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2021/06/2021_Informe-Publico_San-Juan-del-Totoral-S.A..pdf
149,FAPCEN I,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/05/2021_Informe-Publico_FAPCEN-Grupo-I.pdf
150,FAPCEN III,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2021/05/2021_Informe-Pubblico_FAPCEN-III.pdf
