,Organization,Names,Year,Links,RegTag,Companies,Total_Production,Issue_Date,Expiration_Date,Total_Farm_Area,n_members,Type,1_1_criteria,1_2_criteria,1_3_criteria,2_1_criteria,2_2_criteria,2_3_criteria,2_4_criteria,2_5_criteria,3_1_criteria,3_2_criteria,3_3_criteria,3_4_criteria,4_1_criteria,4_2_criteria,4_3_criteria,4_4_criteria,4_5_criteria,5_1_criteria,5_2_criteria,5_3_criteria,5_4_criteria,5_5_criteria,5_6_criteria,5_7_criteria,5_8_criteria,5_9_criteria,5_10_criteria,5_11_criteria,score_per_enterprise,Yield,cluster
114,Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguacu Produtos Organicos Ltda - Gebana Brasil,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Cataratas-do-Iguacu-Produtos-Organicos-Ltda-Gebana-Brasil-1.pdf,RTRS CUC AGR COC NGMONPQ 0073,Control Union,791.25,27/01/20,26/01/25,233.3,15,Group,1,1,0,-2,1,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,1,1,-1,1,1,-2,-2,-2,-2,1,-1,-2,-17,3.3915559365623658,1
115,Bom Jesus Agropecuaria ,Bom Jesus Agropecuaria LTDA Fazenda Mirandopolis,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Bom-Jesus-Agropecuaria-LTDA-Fazenda-Mirandopolis.pdf,RTRS CUC AGR COC 0070,Control Union,34039.0,21/08/19,20/08/24,10720.0,1,Individual,1,2,1,-2,1,1,-2,1,1,-2,2,1,1,1,1,1,1,1,1,1,2,1,-2,1,1,1,0,-2,14,3.1752798507462687,0
116,Associação Clube Amigos da Terra ,Associação Amigos da Terra II 2019,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Associação-Amigos-da-Terra-II.pdf,RTRS FCID AGR COC 0016,FoodChain Id Certificadora Ltda,234733.0,07/11/19,15/12/21,64213.0,22,Group,1,2,1,-2,2,1,-2,-2,2,0,-2,1,1,-2,1,-2,1,-2,2,1,-1,-2,-2,0,-2,-2,0,-2,-10,3.655537040786134,2
117,Amaggi,Amaggi EU RED 2,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Amaggi-EU-RED-2.pdf,RTRS CUC AGR 0001,Control Union,383663.11,03/06/16,02/06/21,116033.0,2,Multi-Site,1,2,1,-2,1,1,-2,-1,1,1,2,1,1,1,1,-2,1,1,1,1,1,1,-2,1,-2,0,1,-1,9,3.3064999612179293,0
118,Amaggi,Amaggi Commodities,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Amaggi-Commodities.pdf,RTRS CERTID AGR COC 0010,Cert Id Certificadora,405980.1,28/11/17,27/11/22,122765.2,13,Group,1,1,-2,-2,2,0,-2,-2,2,0,-2,-1,-2,-2,1,-2,2,0,1,1,-1,-2,-2,0,-2,-2,0,-2,-18,3.306964025635929,1
119,Amaggi,Amaggi Commodities EU RED,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Amaggi-Commodities-EU-RED.pdf,RTRS CERTID AGR COC BFLS 0009,Cert Id Certificadora,104787.9,28/11/17,27/11/22,31232.0,28,Group,1,1,1,-2,2,2,-2,-2,2,-2,1,2,1,0,0,-2,-2,1,1,1,-1,0,-2,-2,-2,1,1,2,0,3.355145363729508,2
120,Aliança da Terra,Alianca da Terra Grupo IV,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Alianca-da-Terra-Grupo-IV.pdf,RTRS CERTID AGR COC 0007,Cert Id Certificadora,222389.0,06/04/16,22/02/17,59101.56,33,Group,1,2,1,-2,1,1,-2,-1,1,1,1,-2,-1,1,1,-1,1,1,1,1,1,1,-2,1,1,-2,1,-2,4,3.762827918586244,2
121,SLC Agrícola,Terra Santa Agro 2018,2018,https://responsiblesoy.org/wp-content/uploads/2020/03/2018_Informe-Publico_Terra-Santa-Agro.pdf,RTRS CUC AGR 0013 31 01 2018,Control Union,202254.0,31/01/18,30/01/23,54881.0,3,Multi-Site,1,1,1,-2,1,1,0,-1,2,1,2,2,1,2,1,-1,1,1,1,1,1,0,-2,-2,0,1,0,0,13,3.68531914505931,0
122,Grupo Reinhofer,Grupo Reinhofer,2018,https://responsiblesoy.org/wp-content/uploads/2020/03/2018_Informe-Publico_Grupo-Reinhofer-1.pdf,RTRS CUC AGR 0069 08 02 2019,Control Union,25538.35,08/02/19,07/02/24,6080.56,5,Multi-Site,1,2,1,-2,1,1,-2,0,1,-2,0,1,1,1,1,1,1,1,1,1,1,1,-2,-2,1,0,1,1,10,4.199999671082926,0
123,Fazenda Agrícola Dourado,Fazenda Agricola Dourado S.A 2018,2018,https://responsiblesoy.org/wp-content/uploads/2020/03/2018_Informe-Publico_Fazenda-Agricola-Dourado-SA.pdf,RTRS CUC AGR 0066 03 12 2018,Control Union,42480.0,03/12/18,02/12/23,11800.0,1,Individual,1,1,1,-2,1,1,0,0,1,1,2,0,1,1,1,0,0,1,1,1,0,-1,-2,-2,1,0,0,-2,6,3.6,0
124,Cerquality Consultoria em Sustentabilidade e Certificação,CerQualiti Grupo III 2018,2018,https://responsiblesoy.org/wp-content/uploads/2020/03/2018_Informe-Publico_Cerquality-Grupo-II.pdf,RTRS CUC AGR 0067 17 12 2018,Control Union,417461.01,17/12/18,24/10/22,108763.0,23,Group,1,1,1,-2,1,1,0,-1,1,1,2,2,1,2,1,0,1,1,1,1,1,0,-2,1,0,0,0,0,15,3.83826310418065,0
125,Associação Clube Amigos da Terra ,Associação Amigos da Terra - Grupo III,2018,https://responsiblesoy.org/wp-content/uploads/2020/03/2018_Informe-Publico_Associação-Amigos-da-Terra-Grupo-III.pdf,RTRS CUC AGR 0059,Control Union,58578.93,22/02/18,21/02/23,16025.3,6,Group,1,2,-1,-2,1,1,1,-1,1,1,-1,-2,-2,1,0,-2,1,1,1,1,1,0,0,1,1,0,1,-2,3,3.655403018976244,2
