"Ticker","Nome","Negócios","Última (R$)","Variação"
"DOHL4","Döhler","1.100","4,99","-0,20%"
"BSLI3","Banco de Brasília","1.000","12,59","-8,10%"
"BRIV3","Alfa Investimento","1.000","11,16","+0,09%"
"CTNM3","Coteminas","1.000","9,30","-0,96%"
"AVLL3","Alphaville","900","5,05","+3,06%"
"NEXP3","Brasil Brokers","900","4,87","-1,62%"
"WHRL3","Whirlpool","900","4,17","-2,57%"
"OFSA3","Ourofino Saúde Animal","700","22,45","-0,71%"
"BSLI4","Banco de Brasília","700","11,64","-1,69%"
"CEDO4","Cedro Têxtil","600","26,01","-2,22%"
"EQPA3","Equatorial Energia Pará","600","7,72","+0,13%"
"APER3","Alper","500","39,20","-2,41%"
"BAUH4","Excelsior","400","80,86","+0,00%"
"PTNT3","Pettenati","400","12,42","+0,49%"
"DEXP4","Dexxos","400","12,00","-0,83%"
"PLAS3","Plascar","400","7,70","+9,22%"
"BGIP4","Banese","300","26,90","+0,00%"
"GEPA4","Rio Paranapanema Energia","300","26,25","-0,53%"
"MNPR3","Minupar","200","20,99","-1,32%"
"BMIN3","Banco Mercantil de Investimentos","200","19,72","-8,28%"
"EALT3","Electro Aço Altona","200","9,50","-6,40%"
"DTCY3","Dtcom","200","4,99","-0,20%"
"CSRN3","COSERN","100","28,40","-2,04%"
"PATI3","Panatlântica","100","26,19","+0,73%"
"CPLE5","Copel","100","22,21","-4,68%"
"BRKM6","Braskem","100","14,03","-6,40%"
"MAPT3","Cemepe","100","12,00","+0,00%"
"IGTI4","Jereissati Participações","100","10,70","+0,00%"
"IGTI4","Iguatemi","100","10,70","+0,00%"
"MAPT4","Cemepe","100","8,95","-1,65%"
"PINE3","PINE","100","4,67","-4,69%"
"BMKS3","Monark","1","358,99","+4,34%"
"HETA4","Hercules","3.600","6,59","+6,46%"
"EQMA3B","Equatorial Maranhão","1.800","29,49","+1,65%"
"RPAD6","Alfa Holdings","1.000","8,03","+0,00%"
"RPAD5","Alfa Holdings","800","8,20","-0,61%"
"CTKA4","Karsten","700","17,20","+1,18%"
"EQPA7","Equatorial Energia Pará","500","7,50","-3,23%"
"MRSA3B","MRS Logística","400","23,15","-10,96%"
"TEKA4","Teka","200","26,98","-0,04%"
"BRGE3","Consórcio Alfa","200","11,69","+1,30%"
"PEAB4","Participações Aliança da Bahia","100","44,01","-6,38%"
"CSRN5","COSERN","100","28,13","+0,46%"
"BRGE12","Consórcio Alfa","100","11,85","+3,77%"
"FESA3","Ferbasa","400","15,00","-3,10%"
"BRGE6","Consórcio Alfa","300","11,99","+2,48%"
"BNBR3","Banco do Nordeste","200","117,02","-2,48%"
"BRSR5","Banrisul","200","18,47","-0,11%"
"ENMT3","Energisa MT","100","74,00","+1,37%"
"UNIP5","Unipar","100","72,98","+0,00%"
"LIPR3","Eletropar","100","67,01","+0,00%"
"BALM4","Baumer","100","10,25","+2,50%"
"BDLL4","Bardella","100","8,01","+2,69%"
"ESTR4","Estrela","4.800","3,81","-2,56%"
